Date,Ship Quantity
18-01,759
18-02,1533
18-03,1406
18-04,1212
18-05,1226
18-06,1558
18-07,1600
18-08,1423
18-09,1545
18-10,1653
18-11,1486
18-12,1465
19-01,2006
19-02,2007
19-03,2005
19-04,1742
19-05,1903
19-06,1634
19-07,1898
19-08,1827
19-09,2610
19-10,2298
19-11,2174
19-12,1831
20-01,3632
20-02,2380
20-03,2661
20-04,2917
20-05,2796
20-06,2477
20-07,2076
20-08,2181
20-09,2386
20-10,2574
20-11,2626
20-12,2428
21-01,2932
21-02,3242
21-03,2757
21-04,2542
21-05,2560
21-06,2157
21-07,1424
21-08,1930
21-09,2209
21-10,2304
21-11,2449
21-12,1975
22-01,2455
22-02,2217
22-03,2328
22-04,2020
22-05,2257
22-06,1974
22-07,1600
22-08,2154
22-09,2180
22-10,1739
22-11,2275
22-12,1243
